jobTitle,company,location,description,remote
Azure DevOps Engineer - Tech Lead,Lumenalta (formerly Clevertech),Chile,"Experience Remote done Right. With over 20 years of remote experience, all 500+ staff are 100% remote. We grow vibrant relationships and provide exceptional opportunities for career growth while working with stellar clients on ambitious projects. About Us:We are a fully remote company with over 20 years of experience working remotely. Our team of 500+ staff works with stellar clients on ambitious projects, providing exceptional opportunities for career growth and vibrant relationships. We specialize in helping enterprise companies launch innovative digital products that interact with millions of customers, transactions, and data points. Our culture fosters experimentation and personal growth, challenging norms to solve real-world problems with creativity, grit, and determination. What We're Working On:We work with clients in complex, multifactor industries, including Logistics, FinTech, Transportation, Insurance, Media, and others. Our projects require a deep understanding of supply chain logistics and data management, and we are looking for a DevOps Data Engineer with experience in these areas. As part of our team, you will work on innovative solutions that involve moving and processing large amounts of data on Azure, deploying Kubernetes in a production environment, and using Terraform for infrastructure as code. Requirements:Senior-level experience of at least 10 years with Azure DevOpsExperience working with big data and migrating to AzureExperience with Power BI, PowerApps, and AzureExperience with ETL pipelines, Data Governance, Cosmos DB, and PostgreSQLNear Real-Time Data Ingestion experience will be advantageousExperience deploying Kubernetes in a production environmentExperience with CI/CD in Jenkins or CircleCIExperience with Azure Kubernetes Service, azure functions, or Event HubExpert knowledge of infrastructure-as-code using TerraformExperience with DevOps methodologies, tools, and practices, including CI/CD, Terraform, Kubernetes, and horizontal scalingExperience with requirement gathering and presentation to executivesAdvanced English fluency, verbal and writtenProfessional, empathetic, team playerProblem solver, proactive, go-getter Straight from the DevsWatch short snippets of actual developers (Real, not scripted) and share why they joined YouTube Playlist Why Lumenalta is an amazing place to work atAt Lumenalta, you can expect that you will:Be 100% dedicated to one project at a time so that you can innovate and grow.Be a part of a team of talented and friendly senior-level developers.Work on projects that allow you to use leading tech. The result? We produce meaningful outcomes for our clients that break barriers in their industries. The Job is 100% remote; please ensure you have a comfortable office setup at your desired work location.",True
Guardia de Seguridad / PT 20H Sábados y Domingos/ Contar OS10/ Falabella Talca,Falabella,"Talca, Maule Region, Chile","Descripción Empresa  Somos más de 100 mil personas que, día a día, dedicamos nuestra pasión y energía a cumplir nuestro Propósito de “Simplificar y Disfrutar Más la Vida”. Propósito que hoy vive a través de nuestro ecosistema físico y digital en todas nuestras empresas (Falabella Retail, Sodimac, IKEA, Tottus, Mallplaza, Falabella Inmobiliario, falabella.com, Linio, Falabella Financiero, Banco Falabella, Falabella Soriana, Seguros Falabella, Fazil, Fpay y Falabella Corporativo) y países (Argentina, Brasil, Chile, China, Colombia, India, México, Perú y Uruguay).  Valoramos las distintas miradas porque entendemos que la diversidad es la clave de nuestra innovación. Queremos ir más allá de cualquier límite, desafiarnos constantemente, divertirnos haciendo lo que nos gusta y dejar huella en lo que hacemos. Y sabemos que existe una forma de hacerlo: como UN SOLO EQUIPO.  Conoce más oportunidades para vivir la #ExperienciaFalabella en https://muevete.falabella.com/  Funciones Del Cargo  Cuando nos preguntan por qué somos la empresa de retail líder en Chile y Latinoamérica la respuesta es simple, es porque nuestros equipos se componen de personas apasionadas con una misión clara: “Simplificar y disfrutar más la vida”  ¡Hoy nuestra Tienda de XXX está incompleta y buscamos a nuestro próximo/a Guardia de Seguridad! Así que si estás en búsqueda de nuevas oportunidades laborales, sigue leyendo, porque esto podría ser para ti…  El objetivo principal de este cargo es resguardar los activos de la empresa, la seguridad de los clientes y del personal que se desempeña al interior de la tienda, conforme a procedimientos y normas vigentes.  ¿Te sumas al desafío?  Tus Funciones Serán   Prevenir y controlar la ocurrencia de robos al interior de la tienda, identificando a las personas que sean sorprendidas hurtando mercadería de la tienda, informando a guardias de puerta, y actuando según procedimiento establecido. Contactar a Carabineros para la toma de declaración del imputado Revisar periódicamente la vigencia y buen estado de extintores en las tiendas. Atender y canalizar requerimientos menores de los clientes, de acuerdo a los parámetros de servicio definidos. Monitorear la tienda a través de cámara, chequear las novedades del turno de noche. Activar o desactivar alarmas de salidas de emergencia, tablero de luces, alarma probadores, sensores de humo. En calidad de Inspector Técnico en Obra (ITO), debe estar presente cada vez que la tienda realiza remodelaciones o construcciones nuevas, supervisando el cumplimiento por parte de los trabajadores de la obra en cuanto a la utilización de elementos de seguridad.  ¿Qué te parece hasta ahora?  Postular Es Simple, Solo Debes   Contar con certificado que acredite Enseñanza Media Completa. Contar con experiencia previa como Guardia o cargos similares en Seguridad. Contar con conocimiento y experiencia en Prevención de Riesgos (requisito deseable). Conocer la Legislación Penal relacionada a Hurtos y Robos. Contar con Visa definitiva (para poder certificarse o re certificarse en curso OS10). Suma muchos puntos a tu postulación si tienes experiencia trabajando en Retail y/o Consumo Masivo.  ¿No logramos convencerte? ¡No te preocupes! Te mostramos algunos de nuestros muchos beneficios (al pasar a contrato indefinido*):   Seguro Complementario de Salud Descuento en compras con Tarjeta CMR Institucional Convenio con gimnasios y centros de entretenimiento Descuento en clínicas dentales, oftalmológicas, entre otros. Descuentos en centros educacionales ¡Oportunidades de crecimiento dentro de la empresa!  ¿Qué esperas? Postula aquí y tendrás la oportunidad de ser él o la protagonista de grandes transformaciones.  Se parte del cambio ¡Te esperamos!  Esta oferta laboral se rige bajo la Ley N° 21.015, que incentiva la inclusión de personas con discapacidad al mundo laboral.  Requisitos  Enseñanza Media CompletaMayor de 18 añosExperiencia en Seguridad  Condiciones Oferta  Descripción proceso de selección:  El proceso de selección se realiza a través de AIRA plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.  Para Postular Solo Necesitas   Postular a la oferta Revisar tu email Ingresar a AIRA y contestar las preguntas y/o pruebas solicitadas  Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por correo (a través de AIRA) para coordinar una entrevista con nuestro equipo de Atracción de Talento.",False
Visual Designer Experience,MRM,"Las Condes, Santiago Metropolitan Region, Chile","Job Description  En MRM Chile estamos en búsqueda de nuestro próximo Visual Designer Experience (VDX) para unirse al Team de Digital Marketing Content para la Gerencia de eBiz, que será responsable de la creación de la mejor experiencia de contenidos en el journey digital de nuestros pasajeros en todos los mercados en los que opera LATAM.  Funciones del cargo  Diseñar la experiencia de los contenidos para que sea intuitiva, se presente de forma fluida y cumpla entregar a los usuarios la información que necesita. Definir arquitectura de información y flujos de interacción del usuario en base al Design System de LATAM. Explorar soluciones creativas para resolver problemas específicos de los pasajeros a través de prototipos que se puedan testear con usuarios. Tomar y argumentar decisiones de arquitectura web y UX ante stakeholders en base a data.   ¿Qué necesitas para ser nuestro próxim@ VDX?  Ser un profesional de las carreras de Periodismo, Publicidad, Diseño Gráfico o similares. Es indispensable que cuentes con al menos 1 años de experiencia comprobable en diseño UX de contenidos digitales. Si tienes un excelente manejo de Sistemas de Diseño complejos, arquitectura de la información y herramientas de diseño UX (Figma, Adobe Illustrator) ya estás un paso más adelante porque para esta posición ¡Es muy necesario!Manejo adecuado de las herramientas, figma, sistema de diseño. We need you to have an intermediate level of English. If you understand this, we are on the right track.",False
Consultor Senior Tributario (Transacciones),EY,Santiago Metropolitan Area,"En EY, tendrás la oportunidad de desarrollar una carrera tan única como tú, con una visión global, el apoyo, la cultura inclusiva y la tecnología para convertirte en la mejor versión de ti. Contamos con tu voz y perspectiva únicas para ayudar a que EY también sea aún mejor. Súmate a nosotros y construye una experiencia excepcional para ti y un mejor mundo de negocio para todos.  ¿Y si tu curiosidad pudiera ayudar a construir el mundo que todos imaginamos?  El equipo  EY es líder global en servicios de assurance, consultoría, impuestos, estrategia y transacciones. EY ha sido reconocido entre los mejores lugares para trabajar en Chile y Latinoamérica por Great Place to Work  En el área de Estrategia y Transacciones (Strategy and Transactions) de EY, apoyamos a nuestros clientes en sus decisiones estratégicas, desde la definición de esta misma hasta su implementación. Los acompañamos durante todo el ciclo de transacciones, desde su concepción inicial hasta la integración posterior, logrando todas las sinergias y objetivos finales para aumentar el valor.  El equipo de Impuestos en Transacciones (Transaction Tax) cuenta con profesionales altamente especializados en asesorar clientes nacionales y extranjeros en aspectos tributarios de procesos de fusiones y adquisiciones (M&A) y financiamientos.   La oportunidad   Nos encontramos en búsqueda de Contadores/as Auditores con 4 a 6 años de experiencia en aspectos tributarios.   Tus responsabilidades   Procesos de due diligence tributarios Revisión de variables tributarias en modelos financieros y modelamiento tributario Apoyo en diseño e implementación de estructuras de inversión y desinversiones Otros servicios de consultoría tributaria relacionada con transacciones.  Requisitos   Titulado/a de Contador Auditor 4-6 años de experiencia en cumplimiento tributario, de preferencia en una Big 4 Deseable experiencia en transacciones Deseable experiencia en modelamiento tributario Manejo de Excel intermedio - avanzado Manejo de herramientas Office nivel usuario Deseable inglés intermedio - avanzado  Qué hay para ti   Acelera tus capacidades técnicas y habilidades de liderazgo transformador con cursos y programas de desarrollo enfocados en tu futuro. Amplía tus horizontes trabajando en equipos altamente integrados en todo el mundo y colabora con personas de diversos orígenes, tanto a nivel profesional como cultural. Saca lo mejor de ti con una inversión continua en tu bienestar personal y desarrollo profesional. Desarrolla tu propio propósito personal y ayúdanos a crear un efecto dominó positivo en nuestros equipos, nuestro negocio, clientes y sociedad, construyendo juntos un mejor mundo de laboral.  Si te incorporas a EY, ofrecemos un paquete de compensación competitivo en el sector y recibirás recompensas en función de tu desempeño. Nuestro paquete Total Rewards incluye una variedad de programas y beneficios diseñados para contribuir con tu bienestar. Además, ofrecemos:   Desarrollo profesional basado en un extenso programa de capacitación, coordinado por EY University (EYU), nuestra universidad corporativa. Programa EY Badges: un programa único y de vanguardia para el desarrollo profesional, el aprendizaje y el reconocimiento, que prepara a los profesionales en teoría y práctica en los temas más actuales. Ambiente de trabajo inclusivo, que ofrece la flexibilidad necesaria para cumplir con los objetivos profesionales y personales, fomentando una cultura laboral enfocada a resultados.   Si puedes demostrar con confianza que cumples con los criterios anteriores, contáctanos lo antes posible.  EY cree en la igualdad de oportunidades. Independientemente del género, edad, raza, color, credo, orientación sexual y discapacidad, todos los candidatos calificados serán considerados en nuestros procesos.  #EYChile",False
Localisation Specialist - Operations,Signant Health,"Santiago, Santiago Metropolitan Region, Chile","This could be the Opportunity of Your Life!   Signant Health is a global evidence generation company. We’re helping our customers digitally enable their clinical trial programs, meeting patients where they are, driving change through technology and innovations and reimagining the path to proof.  Working at Signant Health puts you in the very heart of the world’s most exciting sector - a high-growth, dynamic company in an extraordinary industry.   Are you ready to take on a key role in our team?   We are currently seeking a talented Localisation Specialist, who will be in charge of executing especially medium and high complexity localisation and translations related tasks, within the Localisation department as assigned, including performing localisation related tasks on multi products/multi platforms solutions (e.g. Trial Max, Patient Engagement, Rater Station).  The Localization Specialist must be able to handle multi and complex tasks, on a volume of projects and have open communication with Signant Health stakeholders across the board, while focusing on delivering high quality work. Also, Is accountable for successful delivery of localisation activities, to meet key project milestones, whilst adhering to Good Clinical Practice (GCP), Signant Health processes and regulatory compliance.   What You’ll Do:    By adhering to respect the end to end defined processes, complete tasks which aid the localisation of eCOA, paper, videos or other Signant localized deliverables.  Work with our in-house platforms to create draft and final deliverables as per defined processes.  Perform QC steps and controls as defined within SOPs and Work Instructions.  Perform implementation and testing of Translations within Signant’s software and devices.  Assist the Senior Localisation Specialist in managing the localisation deliverables for all languages using the Localisation planning.  Work across the board with different stakeholders in the organization.  Handle daily project correspondence with internal clients and 3rd party vendors.  As required, help to support the project teams.  Contribute to an environment with good morale and strong work ethic.  Ensure adherence and compliance to the company’s Quality Management System  Contribute to the strategy and support the implementation for process development and improvements.    What You Bring:    At least 2 years work experience.  Able to multi-task and work with multiple team members.  Must be detail orientated.  Must be a team oriented person with a “can do” attitude.  Must be able to use own initiative and work independently as needed.  Must have solid MS Office Suite experience – Word, Excel, PowerPoint.  English level medium.   We’d be thrilled to hear that you also have:   At least 2-year office experience within an operations environment would be an advantage   Location: Santiago, RM, Chile  Language: Resumes must be submitted in English.  Ready to join the adventure? Apply now and be a part of Signant Health’s exciting journey!  At Signant Health, accepting difference isn’t enough—we celebrate it, we support it, and we nurture it for the benefit of our team members, our clients and our community. Signant Health is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or veteran status.  Apply Now  ",False
Representante de Prospección para Proyectos LinkedIn de Eduación y Sector Público ,BCN Global,"Santiago, Santiago Metropolitan Region, Chile","Especialista de Prospección alianza BCN Global y LinkedIn, para proyectos LinkedIn de Educación y Sector Público. En BCN Global, un partner destacado de LinkedIn, estamos buscando un Especialista de Prospección de Clientes altamente motivado para unirse a nuestro equipo dinámico. Este rol es esencial para desarrollar nuestra presencia y expandir nuestra cartera en la vertical de educación, incluyendo universidades, institutos, colegios, así como fundaciones, entidades sin fines de lucro, ministerios de gobierno y entidades públicas. Responsabilidades:Generación de Leads:Identificar y segmentar potenciales clientes dentro del mercado objetivo.Utilizar herramientas de investigación y bases de datos para localizar y cualificar leads potenciales.Programación de Reuniones:Contactar a potenciales clientes a través de llamadas telefónicas, correos electrónicos y otras plataformas digitales.Gestionar la agenda de reuniones, asegurando una planificación eficiente que permita al equipo comercial maximizar su tiempo y esfuerzos.Campañas de Comunicación:Desarrollar y ejecutar campañas de marketing directo, incluyendo el envío de correos electrónicos y la realización de llamadas telefónicas para promover productos o servicios.Segmentar las listas de contactos para personalizar las comunicaciones según las necesidades y características del público objetivo.Monitorear y analizar la eficacia de las campañas para ajustar las estrategias y mejorar los resultados.Reporte y Análisis de Gestión:Mantener registros detallados de las actividades de prospección, incluyendo las respuestas de los leads a las campañas de comunicación.Elaborar informes periódicos sobre el progreso y los resultados de las actividades de prospección.Colaboración con el Equipo Comercial:Trabajar estrechamente con el equipo comercial para entender a fondo los productos o servicios ofrecidos.Transmitir información relevante sobre las necesidades y expectativas de los clientes potenciales al equipo comercial.Coordinar con el equipo comercial para asegurar que los leads generados sean adecuadamente atendidos y convertidos en clientes.Cumplimiento de Metas:Alcanzar las metas de generación de leads y reuniones establecidas por la dirección comercial.Implementar estrategias proactivas para mejorar continuamente la cantidad y calidad de los leads generados. Ofrecemos:Capacitación en algunas de las soluciones de recursos humanos más importantes y reconocidas a nivel mundial.Oportunidad de trabajar en un entorno internacional junto a profesionales de diversos países europeos.Un ambiente de trabajo inclusivo y colaborativo, que promueve el crecimiento personal y profesional.Renta de $1.000.000 bruto + comisiones + bonos. Cumpliendo con un buen desempeño se puede alcanzar una renta de $2.000.000 brutos. Requisitos:Experiencia comprobable en prospección y gestión de clientes en los sectores mencionados.Fuerte red de contactos en el ámbito educativo y de entidades públicas.Excelentes habilidades de comunicación y negociación.Capacidad para trabajar de forma autónoma y en equipo.Dominio de Excel nivel intermedio-avanzado. Si estás buscando una oportunidad para influir en la educación y el sector público a través de productos líderes en el mercado y deseas formar parte de un equipo diverso y lleno de oportunidades, te invitamos a postular ¡Únete a nosotros y ayuda a transformar la manera en que las organizaciones atraen y retienen talento! BCN Global – Conectando talento, transformando futuros.",False
Jefe Comercial (Kam),Casino Express SA,"Santiago Metropolitan Region, Chile","Jefe Comercial (KAM) Empresa líder en el rubro de Servicios de Alimentación se encuentra en búsqueda de Jefe Comercial (KAM). El principal objetivo del cargo será participar en la definición de la estrategia comercial, liderar parte de la cartera de clientes y la adquisición de nuevos clientes. Funciones del cargo:Adquisición de nuevos clientesElaboración de propuestas de servicioLidera la puesta en marcha de propuestas de servicio en coordinación con área de operaciones y otras áreas de la compañíaVisitas constantes a clientes y prospectos.Requisitos del cargo:Formación: Ingenieros comerciales o carrera afín (no excluyente)Experiencia: Al menos 10 años de experiencia en áreas comercialesConocimientos técnicos: Office y Excel nivel intermedio.",False
Asistente Social,Aon,"Las Condes, Santiago Metropolitan Region, Chile","Asistente social  ¿Te gustaría unirte a un equipo diverso e inclusivo?¡Este puesto te está esperando!  Este es un puesto híbrido con la flexibilidad de trabajar la mitad del tiempo virtualmente como desde nuestra oficina de Santiago  Aon está en el negocio de tomar mejores decisiones   En Aon, damos forma a las decisiones para mejorar con el fin de proteger y enriquecer la vida de las personas en todo el mundo.  Como organización, estamos unidos a través de la confianza como un equipo inclusivo y diverso, y nos apasiona ayudar a nuestros colegas y clientes a tener éxito.  Cómo será el día  Orientación por situaciones de salud personal o familiar que el trabajador se encuentre viviendo, contención emocional y entrega de información sobre uso, beneficios o limitaciones de su propio sistema de salud (Fonasa, Isapre), así como uso de seguro complementario, orientación para activación y gestión de prestaciones especiales como Caec, Ges, etcOrientación para acceso a beneficios en Programa de Inclusión laboral, evaluación, preparación de informe social para optar a tramitación de condición de discapacidad y seguimiento constante de los distintos casos en la vida laboral del trabajador.Orientación a la familia del trabajador en casos de enfermedades graves del titular, de manera que puedan acceder a distintos beneficios o puedan utilizar de mejor forma sus planes de salud, y no tener que sufrir dificultades económicas asociadas al desconocimiento de estas opciones. En caso del fallecimiento del trabajador se orienta a la familia en procesos de posesión efectiva, cobro de seguros o indemnizaciones si correspondiera.Visitas Domiciliarias en casos que condición de salud del trabajador lo amerite, o a solicitud del empleador para otro tipo de apoyos en casos de desastres naturales o situaciones de riesgo.Realización de Charlas de Beneficios y Calidad de Vida para trabajadores.Elaboración de Informes sociales internos que faciliten la interacción con áreas de la empresa que puedan apoyar en condiciones de excepción para algún beneficio, o necesidades especiales del trabajador.  ¿En qué se diferencia esta oportunidad?  ¡Aprovecha la oportunidad de formar parte de un equipo integrado, teniendo contacto con distintos equipos internos, multiculturales y diversas posibilidades de aprendizaje y desarrollo!  Habilidades y experiencia que te llevarán al éxito   Título Profesional de Trabajador SocialExperiencia y/o formación en áreas de Beneficio (deseable)  Cómo apoyamos a nuestros compañeros   Además de nuestro paquete integral de beneficios, fomentamos una fuerza laboral diversa. Además, nuestro entorno ágil e inclusivo te permite gestionar tu bienestar y el equilibrio entre el trabajo y la vida personal, lo que garantiza que puedas dar lo mejor de ti mismo en Aon. Además, todos los compañeros disfrutan de dos “Global Wellbeing Days” cada año, lo que les anima a tomarse un tiempo para centrarse en sí mismos. Ofrecemos una variedad de soluciones de estilo de trabajo, pero también reconocemos que la flexibilidad va más allá del lugar de trabajo... Y todos estamos a favor. ¡A esto lo llamamos Smart Working!  Nuestra cultura de aprendizaje continuo te inspira y te equipa para aprender, compartir y crecer, ayudándote a alcanzar tu máximo potencial. Como resultado, en Aon, estás más conectado, eres más relevante y más valorado.  Aon valora un lugar de trabajo innovador y diverso en el que todos los compañeros se sientan capacitados para ser ellos mismos. Aon se enorgullece de ser un lugar de trabajo que ofrece igualdad de oportunidades.  Aon ofrece igualdad de oportunidades de empleo a todos los empleados y solicitantes de empleo sin distinción de raza, color, religión, credo, sexo, orientación sexual, identidad de género, origen nacional, edad, discapacidad, veterano, estado civil, pareja de hecho u otro estado legalmente protegido.  Damos la bienvenida a las solicitudes de todos y proporcionamos a las personas con discapacidades ajustes razonables para participar en la solicitud de empleo, el proceso de entrevista y para realizar las funciones esenciales del trabajo una vez a bordo. Si desea obtener más información sobre las adaptaciones razonables que ofrecemos, envíe un correo electrónico a ReasonableAccommodations@Aon.com  #LI-BB2  2550197",False
Administrador de Contrato EHS Monitoreo de Aire - Calama - Ing. Ambiental - Téc. Químico,SGS,"San Pedro de Atacama, Antofagasta Region, Chile","Descripción de la empresa  SGS es el líder mundial en inspección, verificación, análisis, capacitación y certificación. Es considerada como el principal referente mundial en calidad e integridad, contamos con más de 95.000 colaboradores y una red de más de 2.400 oficinas y laboratorios por el mundo.  Descripción del empleo  Informar resultados de analisis y muestreos a los clientes  Elaborar EDP mensualmente  Provisionar servicios en forma mensual  Facturar  Requisitos  Tecnico profesional del area Quimica, Ambiental o similar. Conocimientos técnicos en monitoreos de calidad del aire, experiencia laboral en cargo y/o similares de al menos 4 años  Información adicional  Regalo de Nacimiento y Navidad para hijos de trabajadoresSeguro de vida desde el ingreso a la organizaciónPermisos especialesBeneficios Caja los Andes y convenios asociados",False
Asistente de Remuneraciones,R&Q Ingeniería,"Santiago, Santiago Metropolitan Region, Chile","R&Q Ingeniería, empresa con 45 años de trayectoria en el sector de ingeniería y proyectos, está en búsqueda de un(a) Asistente de Remuneraciones para integrarse a nuestro equipo en Casa Matriz, ubicada en la comuna de Providencia, RM.  🎯Objetivo del cargoApoyar el proceso mensual de remuneraciones, cumpliendo con las directrices de la jefatura del área y las normativas legales e internas vigentes.Además, gestionar de manera eficiente la confección de finiquitos, coordinando la información requerida con otras áreas para su elaboración y posterior pago, dentro de los plazos establecidos. 💡Principales funciones Sub administración de sistema de remuneraciones de la empresa (BUK) Realizar el proceso de pago de quincena de las empresas de la compañía, procesar estas solicitudes y solicitar la generación del pago con el área de Finanzas, subiendo la respectiva nómina al Banco. Recepción de las planillas de remuneración y su correspondiente cuadratura.Realizar el ingreso al sistema de los cambios de renta y cambios de cargo que se generan dentro del mes. Solicitar internamente la información a descuentos para efecto de cálculo de los finiquitos. Generar los finiquitos en el sistema y solicitar su pago al área de finanzas.  🔍RequisitosFormación: Administración de Empresas, Recursos Humanos, Contabilidad Años de experiencia requerida: 4 años en el cargo Otros conocimientos: Cálculo de Remuneraciones, Leyes Laborales, ERP de Remuneraciones (Payroll, BUK) Conocimientos generales en contabilidad Excel avanzado Si estás buscando una oportunidad para contribuir con tu experiencia en una empresa con sólida trayectoria, ¡te invitamos a postular y ser parte de nuestro equipo! 💛R&Q es una de las empresas de ingeniería más grandes de Latinoamérica y trabaja permanentemente para potenciar talentos y capacidades. Nuestra empresa respalda la Ley 21.015 y está comprometida con la promoción de la diversidad y la inclusión.",False
